Viewer_ID,Month_Year,Age_Group,Gender,Region,Channel_Watched,Anchor_Name,News_Category,Consumption_Frequency,News_Verdict,TRP_Score,Sensationalism_Score,Fake_Units_Consumed,Authentic_Units_Consumed,Sentiment_Score,Trust_Score,Knowledge_Accuracy_Pct
VWR0572,Nov-2025,18-25,Male,Central,Zee News/WION,Palki Sharma,Politics,Daily,Fake,6.0,5.4,7,0,-2.63,4.3,30.0
VWR0573,Aug-2024,26-40,Female,Central,Times Now,Rahul Shivshankar,Politics,Weekly,Authentic,7.3,7.8,1,4,2.82,7.2,82.3
VWR0574,May-2025,18-25,Female,Central,News18,Amish Devgan,Crime,Daily,Fake,6.9,9.4,8,0,-3.55,2.1,33.1
VWR0575,Nov-2023,26-40,Female,West,Zee News/WION,Palki Sharma,Crime,Daily,Authentic,7.0,6.7,1,5,5.0,6.9,78.4
VWR0576,Sep-2023,26-40,Female,Central,NDTV,Ravish Kumar,Politics,Occasional,Misleading,6.3,3.0,1,2,3.67,7.4,71.8
VWR0577,Jul-2023,26-40,Female,North,Republic TV,Arnab Goswami,Economy,Daily,Authentic,8.6,10.0,1,6,1.84,5.9,94.2
VWR0578,Jan-2024,26-40,Male,West,NDTV,Ravish Kumar,Health,Weekly,Authentic,5.8,3.8,0,3,4.04,7.8,79.7
VWR0579,Nov-2023,60+,Female,West,Times Now,Navika Kumar,Health,Occasional,Fake,6.8,7.2,5,0,-2.28,3.8,36.3
VWR0580,Jul-2023,26-40,Female,North,Aaj Tak,Anjana Om Kashyap,Politics,Weekly,Misleading,8.1,7.4,3,2,-0.67,5.2,54.3
VWR0581,May-2022,26-40,Female,North,Times Now,Rahul Shivshankar,Health,Occasional,Authentic,7.4,7.1,0,4,1.7,6.8,78.4
VWR0582,Jul-2023,26-40,Male,Central,NDTV,Ravish Kumar,Health,Daily,Fake,5.6,2.8,6,1,-1.2,6.8,48.5
VWR0583,Nov-2024,60+,Male,South,Times Now,Navika Kumar,Crime,Daily,Authentic,8.4,7.5,1,3,2.6,7.2,62.2
VWR0584,Dec-2022,41-60,Female,West,Aaj Tak,Anjana Om Kashyap,Economy,Daily,Fake,8.9,9.7,3,1,-0.51,4.3,59.3
VWR0585,Mar-2025,26-40,Female,North,News18,Amish Devgan,Politics,Daily,Fake,6.3,5.8,3,1,0.55,6.4,63.6
VWR0586,Jan-2024,41-60,Male,North,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Misleading,8.4,8.8,4,2,-3.14,4.0,52.0
VWR0587,May-2022,26-40,Female,South,Republic TV,Arnab Goswami,Politics,Daily,Fake,9.7,10.0,4,0,-1.88,5.1,64.8
VWR0588,Dec-2022,41-60,Male,North,Republic TV,Arnab Goswami,Health,Weekly,Fake,10.0,9.4,8,1,-4.17,2.8,30.6
VWR0589,Mar-2024,41-60,Other,West,Republic TV,Arnab Goswami,Crime,Occasional,Authentic,8.4,10.0,1,4,0.49,5.4,76.6
VWR0590,Apr-2022,18-25,Female,East,Republic TV,Arnab Goswami,Politics,Daily,Misleading,8.3,9.8,2,2,-0.62,5.0,47.3
VWR0591,Jul-2023,41-60,Male,North,Republic TV,Arnab Goswami,Politics,Daily,Fake,10.0,9.8,5,1,-1.7,4.2,46.0
VWR0592,Sep-2025,26-40,Female,North,News18,Amish Devgan,Politics,Daily,Authentic,7.2,7.3,0,4,3.37,6.5,77.8
VWR0593,Nov-2025,26-40,Female,South,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Authentic,8.3,7.8,1,8,3.26,6.0,85.6
VWR0594,Dec-2023,26-40,Male,North,Times Now,Rahul Shivshankar,Crime,Weekly,Fake,7.8,6.3,9,0,-3.24,4.0,23.1
VWR0595,Jun-2025,41-60,Female,West,NDTV,Ravish Kumar,Politics,Daily,Authentic,4.5,4.1,1,4,3.58,6.9,70.9
VWR0596,Apr-2024,18-25,Male,South,Times Now,Navika Kumar,Politics,Daily,Fake,7.2,6.8,9,1,-3.1,4.2,37.6
VWR0597,Sep-2024,18-25,Female,North,News18,Amish Devgan,Economy,Weekly,Authentic,7.2,7.4,0,3,1.68,6.8,60.2
VWR0598,Nov-2024,41-60,Male,South,Aaj Tak,Anjana Om Kashyap,Crime,Occasional,Misleading,9.2,8.5,2,2,0.2,5.3,49.1
VWR0599,Apr-2023,18-25,Male,North,Aaj Tak,Anjana Om Kashyap,Health,Weekly,Fake,8.2,8.6,3,0,-0.61,4.9,49.1
VWR0600,Dec-2022,18-25,Male,North,Republic TV,Arnab Goswami,Politics,Weekly,Misleading,9.2,10.0,4,3,-0.92,4.1,58.5
VWR0601,Apr-2023,18-25,Male,North,Republic TV,Arnab Goswami,Politics,Daily,Authentic,8.7,9.2,1,7,3.78,7.6,79.2
VWR0602,Nov-2022,26-40,Female,West,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Fake,8.8,7.7,9,0,-4.88,3.2,29.5
VWR0603,Jul-2025,26-40,Male,Central,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Authentic,8.3,9.4,0,7,4.07,6.7,94.5
VWR0604,Apr-2024,18-25,Male,West,Republic TV,Arnab Goswami,Politics,Daily,Fake,9.0,9.3,3,0,-0.28,4.8,60.8
VWR0605,Nov-2023,60+,Female,South,Republic TV,Arnab Goswami,Economy,Occasional,Misleading,8.7,9.5,4,3,-0.1,4.1,70.1
VWR0606,Oct-2025,41-60,Male,North,Times Now,Rahul Shivshankar,Economy,Weekly,Authentic,7.8,8.5,1,5,1.71,4.8,67.9
VWR0607,May-2023,26-40,Female,East,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Authentic,9.1,8.8,0,7,2.59,6.1,83.3
VWR0608,Jul-2023,26-40,Female,West,Times Now,Rahul Shivshankar,Politics,Daily,Authentic,7.4,7.4,0,6,2.83,8.2,79.0
VWR0609,Nov-2022,26-40,Female,Central,Times Now,Navika Kumar,Economy,Daily,Authentic,7.2,5.9,0,7,4.86,8.2,97.6
VWR0610,Apr-2022,41-60,Male,North,News18,Amish Devgan,Politics,Weekly,Misleading,6.3,7.3,1,1,0.78,5.6,59.4
VWR0611,Oct-2022,18-25,Male,North,Republic TV,Arnab Goswami,Crime,Daily,Authentic,9.1,10.0,1,3,0.82,5.8,74.0
VWR0612,Jul-2023,18-25,Female,West,Zee News/WION,Palki Sharma,Economy,Daily,Misleading,6.5,3.8,1,2,2.41,7.2,56.7
VWR0613,Dec-2024,41-60,Male,West,News18,Amish Devgan,Economy,Weekly,Authentic,8.3,7.7,1,6,1.52,6.7,76.9
VWR0614,Jul-2025,26-40,Male,West,Republic TV,Arnab Goswami,Crime,Daily,Fake,8.6,9.6,8,0,-4.03,2.3,25.8
VWR0615,Mar-2025,26-40,Male,East,NDTV,Ravish Kumar,Politics,Daily,Misleading,6.5,3.5,3,3,0.61,6.1,69.0
VWR0616,May-2025,41-60,Male,Central,NDTV,Ravish Kumar,Politics,Daily,Authentic,6.3,4.3,0,3,1.91,6.6,65.5
VWR0617,Oct-2023,41-60,Female,East,Republic TV,Arnab Goswami,Economy,Daily,Authentic,9.3,9.8,1,4,1.38,5.6,89.3
VWR0618,Feb-2022,26-40,Female,Central,Aaj Tak,Anjana Om Kashyap,Economy,Daily,Misleading,9.6,10.0,3,2,1.73,4.2,61.7
VWR0619,Sep-2024,41-60,Female,Central,Zee News/WION,Palki Sharma,Crime,Daily,Fake,6.7,4.2,9,0,-2.78,4.6,23.2
VWR0620,Apr-2025,18-25,Female,West,Zee News/WION,Palki Sharma,Health,Weekly,Authentic,6.7,5.1,1,8,3.63,8.3,91.7
VWR0621,Mar-2024,41-60,Male,South,Aaj Tak,Anjana Om Kashyap,Health,Weekly,Fake,8.7,8.9,4,1,-0.06,3.4,46.0
VWR0622,Jul-2023,26-40,Male,North,Aaj Tak,Anjana Om Kashyap,Health,Weekly,Authentic,9.3,7.9,1,3,0.67,6.1,63.0
VWR0623,Dec-2025,41-60,Other,East,Times Now,Rahul Shivshankar,Health,Occasional,Misleading,8.0,8.0,1,3,2.91,6.0,77.1
VWR0624,Oct-2025,60+,Male,South,Times Now,Navika Kumar,Health,Daily,Misleading,6.9,8.7,3,1,-1.15,4.5,67.5
VWR0625,Apr-2022,60+,Male,West,News18,Amish Devgan,Crime,Occasional,Authentic,6.3,7.5,0,9,5.0,8.2,99.5
VWR0626,Jul-2023,60+,Female,North,Times Now,Rahul Shivshankar,Politics,Daily,Authentic,7.4,7.6,0,3,4.0,7.6,65.7
VWR0627,Jan-2024,26-40,Female,North,Times Now,Rahul Shivshankar,Health,Daily,Misleading,7.1,7.3,3,3,0.46,4.8,57.0
VWR0628,Jun-2022,26-40,Male,West,Zee News/WION,Palki Sharma,Crime,Daily,Authentic,6.5,4.4,1,9,5.0,8.2,100.0
VWR0629,Nov-2025,26-40,Female,North,Republic TV,Arnab Goswami,Politics,Daily,Fake,9.8,8.0,6,1,-2.01,2.8,50.9
VWR0630,Jan-2023,41-60,Other,South,Aaj Tak,Anjana Om Kashyap,Health,Occasional,Authentic,8.5,8.2,1,4,2.04,6.1,66.0
VWR0631,Oct-2023,60+,Male,South,News18,Amish Devgan,Health,Daily,Misleading,7.0,6.4,1,3,1.31,5.1,65.8
VWR0632,Apr-2022,18-25,Female,East,NDTV,Ravish Kumar,Economy,Daily,Misleading,5.8,4.9,3,3,2.35,6.6,65.0
VWR0633,Feb-2022,60+,Male,North,Times Now,Navika Kumar,Politics,Daily,Authentic,7.6,6.7,1,3,1.56,6.3,70.3
VWR0634,Mar-2022,41-60,Female,West,Times Now,Navika Kumar,Crime,Daily,Misleading,6.1,6.5,1,2,3.07,5.7,84.7
VWR0635,Oct-2025,60+,Female,South,Republic TV,Arnab Goswami,Politics,Daily,Fake,8.9,10.0,6,0,-3.3,3.3,35.1
VWR0636,Jun-2024,60+,Female,Central,Times Now,Rahul Shivshankar,Economy,Daily,Fake,7.6,6.3,6,1,-1.97,4.8,49.3
VWR0637,Apr-2022,26-40,Male,South,Times Now,Navika Kumar,Politics,Daily,Misleading,7.8,6.2,1,3,2.86,7.6,73.9
VWR0638,Dec-2025,18-25,Male,North,Aaj Tak,Anjana Om Kashyap,Health,Occasional,Fake,8.5,8.9,4,0,-1.57,4.3,35.7
VWR0639,Jul-2025,18-25,Male,North,Aaj Tak,Anjana Om Kashyap,Health,Daily,Fake,7.8,9.6,6,0,-2.49,3.1,21.9
VWR0640,May-2024,26-40,Female,North,Times Now,Rahul Shivshankar,Politics,Daily,Authentic,7.8,7.6,0,7,3.08,5.8,86.4
VWR0641,Sep-2025,41-60,Male,East,Republic TV,Arnab Goswami,Economy,Weekly,Authentic,8.9,9.7,1,4,1.9,6.2,78.3
VWR0642,Sep-2024,41-60,Male,North,Aaj Tak,Anjana Om Kashyap,Economy,Occasional,Authentic,8.1,8.9,0,7,4.17,7.6,100.0
VWR0643,Jan-2023,60+,Male,South,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Fake,8.4,9.1,9,1,-2.44,3.8,26.2
VWR0644,Nov-2025,41-60,Male,East,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Misleading,8.6,9.0,1,2,0.67,3.6,71.8
VWR0645,Mar-2025,18-25,Male,North,Republic TV,Arnab Goswami,Politics,Occasional,Misleading,8.9,8.7,3,2,0.28,4.9,57.7
VWR0646,Aug-2024,18-25,Female,North,NDTV,Ravish Kumar,Politics,Daily,Authentic,4.7,3.5,1,5,4.47,8.5,92.3
VWR0647,Apr-2024,18-25,Male,West,Times Now,Navika Kumar,Economy,Weekly,Authentic,7.6,5.9,1,5,3.05,8.0,78.2
VWR0648,Jan-2025,26-40,Male,Central,News18,Amish Devgan,Economy,Daily,Authentic,7.6,7.6,1,4,3.1,6.7,71.5
VWR0649,Apr-2024,26-40,Female,North,Zee News/WION,Palki Sharma,Politics,Occasional,Authentic,6.8,4.6,1,5,5.0,7.7,79.9
VWR0650,Mar-2024,18-25,Female,North,Times Now,Navika Kumar,Crime,Occasional,Fake,6.6,8.8,4,1,-0.99,3.5,54.0
VWR0651,Jan-2024,26-40,Male,Central,Republic TV,Arnab Goswami,Crime,Weekly,Fake,9.1,9.5,3,1,0.46,4.1,67.7
VWR0652,Jun-2024,18-25,Male,North,Times Now,Navika Kumar,Politics,Daily,Authentic,7.2,5.7,0,9,5.0,9.0,96.5
VWR0653,Jun-2022,41-60,Female,Central,Times Now,Navika Kumar,Politics,Daily,Fake,7.5,6.7,9,0,-3.1,4.0,32.4
VWR0654,Jun-2024,26-40,Male,North,Zee News/WION,Palki Sharma,Politics,Daily,Authentic,6.8,5.4,0,5,4.23,6.5,69.3
VWR0655,Sep-2022,26-40,Female,West,Times Now,Rahul Shivshankar,Crime,Occasional,Authentic,7.1,8.5,1,3,2.45,5.9,62.3
VWR0656,Jun-2022,26-40,Male,South,Republic TV,Arnab Goswami,Health,Occasional,Authentic,9.2,9.0,0,8,5.0,6.2,90.0
VWR0657,May-2024,60+,Male,Central,Aaj Tak,Anjana Om Kashyap,Health,Daily,Authentic,8.9,7.5,0,5,3.19,7.1,83.3
VWR0658,Nov-2023,18-25,Male,South,Times Now,Rahul Shivshankar,Politics,Weekly,Fake,8.2,7.9,8,1,-3.47,2.7,30.4
VWR0659,Jun-2022,26-40,Female,East,News18,Amish Devgan,Health,Daily,Authentic,7.4,6.4,1,4,2.81,5.7,77.3
VWR0660,Oct-2023,41-60,Female,North,Times Now,Navika Kumar,Health,Daily,Fake,7.6,6.5,4,0,-2.16,6.0,44.8
VWR0661,Feb-2022,26-40,Male,North,Times Now,Rahul Shivshankar,Economy,Weekly,Authentic,7.5,7.0,1,9,5.0,7.0,100.0
VWR0662,Jul-2024,60+,Female,West,NDTV,Ravish Kumar,Crime,Daily,Authentic,6.5,3.4,0,4,4.22,7.6,77.3
VWR0663,Jun-2022,26-40,Male,East,News18,Amish Devgan,Economy,Daily,Authentic,7.2,8.1,1,6,2.89,6.7,85.4
VWR0664,Jun-2025,26-40,Male,Central,Aaj Tak,Anjana Om Kashyap,Economy,Daily,Authentic,8.3,8.3,1,7,3.48,5.5,83.8
VWR0665,May-2022,18-25,Female,South,Republic TV,Arnab Goswami,Crime,Weekly,Authentic,9.9,9.3,0,6,4.07,7.1,85.3
VWR0666,Aug-2023,41-60,Male,West,Republic TV,Arnab Goswami,Politics,Occasional,Misleading,9.5,9.5,3,2,0.45,4.0,64.4
VWR0667,Dec-2022,26-40,Female,South,Aaj Tak,Anjana Om Kashyap,Economy,Occasional,Authentic,8.5,8.9,1,8,4.51,6.3,90.1
VWR0668,Feb-2025,18-25,Female,Central,Republic TV,Arnab Goswami,Health,Weekly,Authentic,9.0,9.6,1,6,3.35,6.8,77.8
VWR0669,Feb-2025,26-40,Female,Central,Aaj Tak,Anjana Om Kashyap,Economy,Weekly,Misleading,8.8,9.1,3,2,0.02,3.7,62.7
VWR0670,Aug-2022,26-40,Female,South,Aaj Tak,Anjana Om Kashyap,Health,Daily,Authentic,8.9,9.5,0,3,1.94,5.9,74.2
VWR0671,Jul-2025,18-25,Male,Central,Aaj Tak,Anjana Om Kashyap,Crime,Occasional,Authentic,8.8,9.1,0,3,2.37,5.7,80.2
VWR0672,Sep-2024,41-60,Male,West,NDTV,Ravish Kumar,Politics,Weekly,Fake,6.0,3.9,8,1,-1.07,5.0,45.7
VWR0673,Mar-2025,41-60,Male,North,Republic TV,Arnab Goswami,Politics,Weekly,Fake,10.0,8.2,8,1,-2.88,3.4,44.4
VWR0674,Apr-2025,18-25,Male,East,Times Now,Navika Kumar,Economy,Weekly,Authentic,7.7,6.8,0,5,4.43,7.2,74.0
VWR0675,Jul-2024,26-40,Male,North,Times Now,Rahul Shivshankar,Politics,Occasional,Authentic,7.6,7.6,1,4,0.6,4.7,50.8
VWR0676,Mar-2022,41-60,Male,West,NDTV,Ravish Kumar,Politics,Daily,Authentic,6.3,4.1,1,3,2.74,6.6,89.6
VWR0677,Jul-2023,26-40,Female,North,Republic TV,Arnab Goswami,Health,Daily,Misleading,8.7,8.9,2,1,0.14,4.0,64.7
VWR0678,Dec-2025,26-40,Male,North,Times Now,Rahul Shivshankar,Health,Weekly,Fake,7.7,6.7,6,1,-3.02,5.2,47.5
VWR0679,Aug-2022,26-40,Female,South,NDTV,Ravish Kumar,Politics,Occasional,Authentic,6.7,3.0,1,7,3.29,8.9,79.8
VWR0680,Jun-2024,41-60,Female,East,Zee News/WION,Palki Sharma,Politics,Weekly,Authentic,6.4,5.4,1,4,3.04,7.1,58.6
VWR0681,Jul-2024,60+,Female,West,Zee News/WION,Palki Sharma,Crime,Daily,Authentic,6.1,5.8,0,9,5.0,10.0,80.5
VWR0682,May-2024,41-60,Male,Central,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Misleading,8.4,8.5,2,1,0.78,3.4,57.8
VWR0683,Jun-2022,18-25,Male,South,Aaj Tak,Anjana Om Kashyap,Health,Weekly,Fake,8.2,9.5,3,0,-3.13,4.9,54.2
VWR0684,Feb-2022,26-40,Male,North,News18,Amish Devgan,Politics,Weekly,Fake,6.6,7.6,9,1,-2.66,3.4,46.0
VWR0685,Nov-2023,60+,Male,West,NDTV,Ravish Kumar,Economy,Weekly,Authentic,5.6,3.4,0,4,4.48,7.5,80.9
VWR0686,Aug-2025,18-25,Male,East,Times Now,Navika Kumar,Health,Daily,Authentic,6.5,6.6,0,3,1.42,6.2,80.9
VWR0687,Jun-2024,60+,Female,South,Times Now,Navika Kumar,Health,Occasional,Authentic,7.2,7.4,1,6,4.3,6.6,77.7
VWR0688,Feb-2025,60+,Male,South,Aaj Tak,Anjana Om Kashyap,Politics,Weekly,Misleading,9.2,9.1,4,1,0.36,5.2,48.8
VWR0689,Oct-2025,18-25,Female,East,Zee News/WION,Palki Sharma,Crime,Weekly,Fake,6.0,6.8,9,1,-4.43,3.8,20.7
VWR0690,Mar-2025,60+,Other,South,Aaj Tak,Anjana Om Kashyap,Crime,Daily,Authentic,9.5,8.1,0,4,2.77,6.8,69.2
VWR0691,Sep-2022,26-40,Male,West,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Authentic,9.0,9.2,1,6,2.97,5.8,72.1
VWR0692,Jul-2022,41-60,Male,East,Times Now,Rahul Shivshankar,Health,Occasional,Misleading,8.0,6.8,3,3,-0.6,5.8,60.6
VWR0693,Nov-2025,26-40,Female,West,Times Now,Navika Kumar,Crime,Daily,Misleading,6.9,6.1,4,2,-0.28,6.1,42.7
VWR0694,Aug-2025,26-40,Male,East,Aaj Tak,Anjana Om Kashyap,Health,Weekly,Authentic,9.1,8.8,0,7,5.0,7.8,83.0
VWR0695,Mar-2023,41-60,Female,North,Republic TV,Arnab Goswami,Politics,Daily,Authentic,8.7,9.6,1,9,3.39,6.2,92.2
VWR0696,Mar-2023,41-60,Male,West,News18,Amish Devgan,Politics,Weekly,Fake,7.4,9.8,6,0,-1.3,3.6,21.8
VWR0697,Sep-2023,18-25,Female,East,Aaj Tak,Anjana Om Kashyap,Economy,Daily,Fake,8.8,8.7,9,0,-3.9,2.6,40.9
VWR0698,Feb-2023,26-40,Male,North,Times Now,Navika Kumar,Crime,Daily,Authentic,7.5,5.9,0,4,2.49,7.4,93.3
VWR0699,Nov-2022,18-25,Male,East,Republic TV,Arnab Goswami,Crime,Occasional,Authentic,8.6,9.7,1,8,3.65,6.4,97.3
VWR0700,Nov-2022,26-40,Female,South,Times Now,Navika Kumar,Crime,Weekly,Authentic,6.8,5.1,0,4,2.11,8.5,82.1
VWR0701,Aug-2023,26-40,Male,West,Times Now,Navika Kumar,Politics,Daily,Authentic,7.5,6.7,0,7,4.65,7.9,92.1
VWR0702,Jan-2023,26-40,Male,South,Republic TV,Arnab Goswami,Health,Daily,Fake,8.7,9.5,7,1,-2.95,2.8,44.8
VWR0703,Sep-2025,26-40,Male,West,Aaj Tak,Anjana Om Kashyap,Politics,Occasional,Authentic,8.9,9.4,0,5,2.53,5.9,83.2
VWR0704,Jun-2024,18-25,Male,North,Republic TV,Arnab Goswami,Crime,Daily,Fake,8.5,10.0,5,1,-2.96,4.2,50.0
VWR0705,Apr-2025,18-25,Female,South,Republic TV,Arnab Goswami,Crime,Weekly,Fake,9.6,9.1,6,1,-2.23,4.1,31.2
VWR0706,Mar-2025,18-25,Female,Central,NDTV,Ravish Kumar,Economy,Daily,Fake,5.2,3.4,9,0,-2.97,4.6,29.9
VWR0707,Aug-2023,26-40,Female,West,Aaj Tak,Anjana Om Kashyap,Crime,Occasional,Misleading,9.0,8.2,2,3,0.01,5.3,71.5
VWR0708,Sep-2025,60+,Female,North,Zee News/WION,Palki Sharma,Politics,Weekly,Fake,6.8,4.1,8,0,-1.86,5.2,35.7
VWR0709,Jul-2025,18-25,Male,North,Aaj Tak,Anjana Om Kashyap,Crime,Weekly,Misleading,8.4,9.0,3,2,0.17,4.3,69.2
VWR0710,Feb-2025,60+,Male,South,News18,Amish Devgan,Politics,Daily,Fake,7.3,6.5,6,1,-2.33,4.1,56.3
VWR0711,Aug-2022,41-60,Female,East,Zee News/WION,Palki Sharma,Politics,Occasional,Authentic,6.6,4.7,1,4,2.73,9.1,70.8
VWR0712,Jan-2025,41-60,Female,West,Times Now,Navika Kumar,Politics,Daily,Misleading,6.9,6.0,3,1,0.77,5.7,47.4
VWR0713,Jun-2025,41-60,Male,West,Times Now,Navika Kumar,Crime,Occasional,Authentic,6.7,7.2,0,3,3.51,6.3,85.5
VWR0714,Sep-2024,41-60,Male,East,Times Now,Rahul Shivshankar,Politics,Daily,Fake,6.5,8.6,3,0,0.4,3.9,58.3
VWR0715,Feb-2024,18-25,Male,West,Times Now,Rahul Shivshankar,Crime,Weekly,Fake,7.7,6.2,9,0,-2.25,3.4,24.4
VWR0716,Aug-2025,26-40,Female,South,NDTV,Ravish Kumar,Economy,Daily,Misleading,5.0,2.0,1,1,0.94,8.2,62.7
VWR0717,Mar-2025,41-60,Female,North,Zee News/WION,Palki Sharma,Health,Weekly,Authentic,6.5,4.9,1,9,4.45,9.3,90.1
VWR0718,Aug-2022,26-40,Male,East,NDTV,Ravish Kumar,Politics,Daily,Authentic,5.7,3.5,0,6,3.38,8.1,88.2
VWR0719,Jun-2023,41-60,Female,Central,Republic TV,Arnab Goswami,Politics,Daily,Fake,9.5,9.7,4,0,-0.77,3.4,60.5
VWR0720,Mar-2025,18-25,Male,West,Zee News/WION,Palki Sharma,Health,Daily,Authentic,6.3,4.6,0,4,3.24,6.7,71.8
VWR0721,Feb-2023,41-60,Male,East,NDTV,Ravish Kumar,Economy,Daily,Fake,5.6,3.3,4,1,1.1,6.3,54.8
VWR0722,Jun-2023,26-40,Female,East,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Authentic,9.1,9.1,1,4,0.8,3.0,77.0
VWR0723,Sep-2023,26-40,Male,Central,Republic TV,Arnab Goswami,Health,Daily,Authentic,9.4,10.0,1,3,0.75,4.1,55.6
VWR0724,Nov-2023,26-40,Male,South,Zee News/WION,Palki Sharma,Crime,Occasional,Authentic,6.7,3.4,1,5,2.88,8.1,98.5
VWR0725,Apr-2022,41-60,Other,South,Times Now,Navika Kumar,Crime,Daily,Authentic,7.4,6.5,1,4,3.44,4.8,76.7
VWR0726,Oct-2022,60+,Female,Central,Zee News/WION,Palki Sharma,Economy,Weekly,Misleading,5.7,5.2,3,2,1.27,7.6,69.3
VWR0727,Jul-2025,26-40,Female,West,Republic TV,Arnab Goswami,Health,Daily,Misleading,9.6,8.8,1,2,-0.53,4.6,55.1
VWR0728,Nov-2022,41-60,Male,South,Zee News/WION,Palki Sharma,Economy,Weekly,Fake,6.8,6.4,5,1,-1.45,5.1,63.9
VWR0729,Aug-2023,26-40,Male,South,Aaj Tak,Anjana Om Kashyap,Politics,Daily,Fake,8.2,8.3,6,0,-1.69,4.5,38.2
VWR0730,Jul-2023,18-25,Female,South,Republic TV,Arnab Goswami,Crime,Occasional,Misleading,9.1,9.5,4,1,-0.26,4.2,34.1
VWR0731,Jan-2022,18-25,Female,North,Republic TV,Arnab Goswami,Crime,Occasional,Fake,9.2,9.9,3,1,-0.35,4.1,45.1
VWR0732,Jul-2024,18-25,Female,Central,Zee News/WION,Palki Sharma,Politics,Daily,Fake,6.4,4.5,4,1,-0.01,5.3,42.7
VWR0733,Feb-2022,26-40,Male,South,News18,Amish Devgan,Crime,Weekly,Misleading,7.2,6.0,1,2,0.91,5.3,61.8
VWR0734,May-2025,26-40,Male,West,Times Now,Navika Kumar,Politics,Daily,Fake,7.9,6.5,6,0,-1.24,3.9,30.7
VWR0735,May-2022,41-60,Other,North,Times Now,Rahul Shivshankar,Politics,Weekly,Fake,8.0,8.0,9,0,-5.0,3.0,35.5
VWR0736,Oct-2024,41-60,Female,East,NDTV,Ravish Kumar,Politics,Daily,Authentic,5.1,3.2,1,5,2.27,8.1,79.9
VWR0737,Apr-2022,18-25,Male,North,Times Now,Rahul Shivshankar,Health,Daily,Misleading,7.8,6.5,4,3,0.52,5.0,63.6
VWR0738,Mar-2024,18-25,Male,West,Zee News/WION,Palki Sharma,Economy,Daily,Authentic,7.2,5.7,1,7,3.61,8.6,88.9
VWR0739,Mar-2025,26-40,Male,East,Times Now,Rahul Shivshankar,Crime,Weekly,Misleading,7.7,6.9,4,2,0.4,4.2,54.0
VWR0740,Mar-2022,26-40,Male,East,Times Now,Rahul Shivshankar,Crime,Daily,Authentic,8.0,6.8,0,9,5.0,8.7,84.0
VWR0741,Feb-2024,18-25,Male,North,Times Now,Rahul Shivshankar,Politics,Weekly,Authentic,8.5,7.3,0,3,3.76,6.9,63.4
VWR0742,May-2025,18-25,Male,North,Aaj Tak,Anjana Om Kashyap,Economy,Weekly,Fake,9.2,9.4,4,1,-0.81,4.2,40.7
VWR0743,Jan-2022,60+,Female,North,Zee News/WION,Palki Sharma,Crime,Daily,Fake,6.6,6.9,8,1,-1.98,5.0,27.8
VWR0744,Apr-2023,41-60,Male,South,Times Now,Navika Kumar,Health,Weekly,Authentic,7.7,7.5,1,5,2.02,6.9,92.0
VWR0745,Nov-2024,18-25,Other,East,Aaj Tak,Anjana Om Kashyap,Health,Occasional,Fake,8.8,9.7,9,0,-3.82,3.3,17.0
VWR0746,Jul-2023,26-40,Male,East,NDTV,Ravish Kumar,Politics,Occasional,Misleading,5.8,3.1,3,1,0.46,4.6,68.3
VWR0747,Apr-2023,26-40,Female,East,Times Now,Rahul Shivshankar,Crime,Weekly,Authentic,7.3,6.4,1,7,3.42,8.3,77.1
VWR0748,Sep-2024,41-60,Male,East,Times Now,Navika Kumar,Economy,Weekly,Authentic,8.0,6.8,0,6,3.12,7.8,75.2
VWR0749,Jul-2024,26-40,Female,North,NDTV,Ravish Kumar,Politics,Weekly,Authentic,5.4,3.6,0,6,5.0,8.9,89.4
VWR0750,Oct-2023,18-25,Other,North,News18,Amish Devgan,Health,Daily,Authentic,7.8,6.6,1,8,4.22,8.3,99.1
VWR0751,Aug-2025,41-60,Female,North,Republic TV,Arnab Goswami,Economy,Daily,Fake,9.4,9.4,8,1,-3.96,2.7,23.5
VWR0752,Aug-2023,26-40,Female,West,NDTV,Ravish Kumar,Politics,Daily,Authentic,5.1,3.8,1,4,3.53,8.2,74.3
VWR0753,Jun-2022,26-40,Male,East,News18,Amish Devgan,Economy,Daily,Misleading,7.2,7.8,1,1,0.49,6.6,74.0
VWR0754,Nov-2024,26-40,Female,North,Aaj Tak,Anjana Om Kashyap,Economy,Daily,Authentic,7.6,9.2,1,4,1.27,4.4,82.3
VWR0755,Mar-2025,26-40,Female,North,Republic TV,Arnab Goswami,Health,Occasional,Authentic,9.5,9.7,1,9,5.0,7.9,80.1
VWR0756,Mar-2022,26-40,Other,West,Zee News/WION,Palki Sharma,Politics,Daily,Authentic,6.9,4.6,0,9,4.66,9.0,94.9
